Al,Co,Cr,Cu,Fe,Mg,Mn,Na,Ni,Ni Daily Extractiion
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0008,0.29%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0008,0.26%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0008,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0015,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0015,0.31%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.001,0,0.002,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.001,0,0.002,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.001,0,0.002,0.30%
0.08,0.005,0.003,0.0008,0.08,1.15,0.047,0,0.016,0.28%
0.08,0.005,0.003,0.0008,0.08,1.15,0.047,0,0.016,0.27%
0.08,0.006,0.003,0.0008,0.08,1.2,0.047,0,0.019,0.26%
0.08,0.006,0.003,0.0008,0.08,1.2,0.047,0,0.019,0.28%
0.08,0.005,0.003,0.0008,0.08,1.1,0.051,0,0.016,0.28%
0.08,0.005,0.003,0.0008,0.08,1.1,0.051,0,0.016,0.29%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.001,0,0.001,0.31%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.001,0,0.001,0.30%
0.08,0.0015,0.001,0.0008,0.08,0.6,0.0155,0,0.0055,0.31%
0.08,0.0015,0.001,0.0008,0.08,0.6,0.0155,0,0.0055,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.005,0,0.002,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.005,0,0.002,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.003,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.003,0.27%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.001,0,0.001,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.001,0,0.001,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.27%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.003,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.003,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.25%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.25%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.24%
0.08,0.0008,0.0008,0.0008,0.08,0.1,0.001,0,0.001,0.25%
0.08,0.0008,0.0008,0.0008,0.08,0.1,0.001,0,0.001,0.26%
0.08,0.0008,0.0008,0.0008,0.08,0.1,0.001,0,0.001,0.23%
0.08,0.0008,0.001,0.0008,0.08,0.1,0.0008,0,0.001,0.23%
0.08,0.0008,0.001,0.0008,0.08,0.1,0.0008,0,0.001,0.25%
0.08,0.0008,0.001,0.0008,0.08,0.1,0.0008,0,0.001,0.25%
0,0,0,0,0,0,0,0,0,0.08%
0,0,0,0,0,0,0,0,0,0.02%
0,0,0,0,0,0,0,0,0,0.01%
0,0,0,0,0,0,0,0,0,0.01%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.01%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.10%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.10%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.09%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.23%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.26%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.65%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.05%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.03%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.01%

